Final Score Set,Total Count
"(80, 83)",17
"(116, 100)",17
"(116, 98)",17
"(111, 128)",17
"(105, 87)",16
"(89, 82)",16
"(122, 116)",16
"(123, 114)",16
"(121, 117)",16
"(122, 110)",16
"(118, 106)",16
"(93, 83)",16
"(93, 112)",16
"(97, 83)",16
"(97, 118)",16
"(118, 127)",16
"(114, 99)",16
"(119, 116)",16
"(98, 121)",16
"(123, 110)",16
"(91, 117)",16
"(112, 127)",16
"(99, 118)",16
"(116, 101)",16
"(111, 125)",16
"(94, 117)",16
"(120, 107)",16
"(110, 128)",16
"(110, 124)",16
"(118, 105)",16
"(118, 102)",16
"(122, 128)",16
"(118, 98)",16
"(117, 101)",16
"(117, 129)",16
"(117, 102)",16
"(122, 106)",16
"(102, 121)",16
"(102, 122)",16
"(120, 123)",16
"(122, 127)",16
"(121, 107)",16
"(112, 125)",16
"(121, 122)",16
"(124, 121)",16
"(85, 87)",16
"(124, 113)",16
"(88, 81)",16
"(76, 89)",16
"(84, 85)",16
"(81, 84)",16
"(86, 85)",16
"(80, 92)",16
"(85, 82)",16
"(81, 88)",16
"(85, 83)",16
"(79, 96)",16
"(79, 91)",16
"(86, 113)",16
"(78, 89)",16
"(87, 84)",16
"(76, 92)",16
"(80, 84)",16
"(82, 92)",16
"(87, 111)",16
"(78, 90)",16
"(78, 91)",16
"(84, 106)",16
"(120, 128)",15
"(99, 83)",15
"(84, 82)",15
"(79, 89)",15
"(79, 88)",15
"(86, 81)",15
"(84, 81)",15
"(108, 92)",15
"(123, 112)",15
"(116, 95)",15
"(82, 95)",15
"(108, 91)",15
"(117, 100)",15
"(80, 98)",15
"(80, 87)",15
"(83, 107)",15
"(95, 118)",15
"(109, 124)",15
"(114, 98)",15
"(114, 126)",15
"(119, 123)",15
"(87, 83)",15
"(77, 86)",15
"(79, 98)",15
"(113, 94)",15
"(80, 88)",15
"(80, 91)",15
"(77, 89)",15
"(125, 122)",15
"(119, 105)",15
"(115, 121)",15
"(77, 92)",15
"(90, 84)",15
"(119, 106)",15
"(110, 126)",15
"(84, 87)",15
"(102, 124)",15
"(111, 95)",15
"(122, 118)",15
"(112, 92)",15
"(74, 89)",15
"(103, 88)",15
"(92, 82)",15
"(107, 90)",15
"(118, 104)",15
"(81, 97)",15
"(107, 127)",15
"(81, 98)",15
"(81, 101)",15
"(85, 102)",15
"(85, 106)",15
